id;name;conversation;tooltip
2;Stephen;Because it’s negative.;
2;Rob;That’s right. We know “either or” for a choice of 2 things. You can either have a blue one or a red one. But it’s “neither nor” for negative things. It’s neither hot nor cold. It’s in between.;
2;Stephen;But is it ˈnēT͟Hər or ˈnīT͟Hər. What’s the correct pronunciation?;
2;Rob;ēT͟Hər, ˈīT͟Hər. ˈnēT͟Hər, ˈnīT͟Hər.;
2;Stephen;So, they’re both okay?;
2;Rob;Yea.;
2;Stephen;Okay, thanks Rob.;
3;Ashlie;What’s the time? She should be here by now.;
3;Stephen;It’s five past nine. She’ll be here in a minute.;
3;Ashlie;We’re at Paddington Station with our friend Tristan.;
3;Tristan;Hi.;
3;Ashlie;And we’re waiting for Tristan’s friend Jay Marie to arrive from the airport. She’s just flown in from the States.;
3;Tristan;Here she is! Hi, Jay Marie!;
3;Jay Marie;Hi!;
3;Tristan;Stephen, Ashlie, this is Jay Marie.;
3;Stephen;Hello.;
3;Jay Marie;Hi! I’ve heard so much about you guys. It’s great to meet you. It’s so awesome to be in London.;
3;Ashlie;Ah, great. So are you guys ready for some sightseeing?;sightseeing
3;Jay Marie;Sure. Sounds cool.;
3;Stephen;OK – let’s drop off your bags, and we’re ready to go.;
3;Jay Marie;Cool!;
3;Ashlie;OK, guys. So we’re going to take a double-decker tour around the city.;double-decker
3;Jay Marie;A what?;
3;Ashlie;A double-decker. You know, a bus with two floors. It should be here any minute now.;
3;Stephen;Ah!;
3;Jay Marie;Oh! Oh no, Stephen! I’m so sorry. All over your pants.;
3;Stephen;My pants? No, no, no. It just went on my trousers. I’m fine.;trousers
3;Ashlie;Oh, look. I think that must be our bus coming.;
3;Jay Marie;The one without a roof?;
3;Ashlie;Yeah, so we can see more.;
3;Jay Marie;Oh, great!;
3;Stephen;Come on, let’s jump on.;
3;Tour Guide;All aboard!;all aboard
3;Tour Guide;Ladies and gentlemen, to your left is St Paul’s Cathedral...;
3;Jay Marie;I didn’t catch any of that. What did he say?;
3;Tristan;I think he’s talking about that building over there.;
3;Tour Guide;It was on this site that the original St Paul’s was destroyed...;
3;Jay Marie;No. I didn’t get a single word of that.;
3;Stephen;Look, tell you what. I’ve got my guide book here. Why don’t I take over as your personal guide?;
3;Jay Marie;Well, OK!;
3;Stephen;OK, let’s see. Piccadilly Circus. Did you know that Piccadilly Circus was built in 1819 to connect Regent Street and the major shopping street of Piccadilly? The fountain with its famous statue of the Greek god Eros was added in 1893. Piccadilly Circus...;
3;Ashlie;Oh Stephen, that is so boring! Listen, I’ve just looked it up on my phone and here is an interesting fact for you. Did you know that British people say, ‘It’s like Piccadilly Circus’ to mean that somewhere is busy and crowded and full of people?;
3;Jay Marie;Really?;
3;Stephen;Err, Ashlie. I’ve got the guide book. A book for guides!;
3;Ashlie;Whatever, Stephen.;
3;Stephen;Did you know that Tower Bridge was built between 1886 and...;
3;Ashlie;And you know that song ‘London Bridge is falling down, falling down’? Well, most people think it’s about this bridge, but actually it’s about another bridge.;
3;Stephen;And it was painted blue to match the colour of the Queen’s eyes.;
3;Stephen;Trafalgar Square. Did you know the column is 51.5 metres tall from the ground to the tip of the Admiral's hat? It was built between 1840…;Admiral
3;Ashlie;Did you know that one of the statues in the Square changes once a year to a new piece of art? At the moment, it’s that big blue one over there.;
3;Stephen;All right. That’s it! Give me that phone.;
3;Ashlie;Give me that book!;
3;Stephen;Jay Marie! Jay Marie! Who do you want to be your guide? Me with my expert guide book or Ashlie with her stupid internet facts?;
3;Jay Marie;Huh? Well I was just listening to the audio tour. Sorry guys!;
3;Stephen;What? Jay Marie!;
